    1 2018-06-07 05:09:38.370001612    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=50132536 TSecr=0 WS=128 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
    2 2018-06-07 05:09:38.370055727    10.10.3.2 → 10.10.1.2    TCP 80 → 48608 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=50136281 TSecr=50132536 WS=128 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
    3 2018-06-07 05:09:38.370426293    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=50132536 TSecr=50136281 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
    4 2018-06-07 05:09:38.370827095    10.10.1.2 → 10.10.3.2    HTTP GET / HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
    5 2018-06-07 05:09:38.370870667    10.10.3.2 → 10.10.1.2    TCP 80 → 48608 [ACK] Seq=1 Ack=137 Win=30080 Len=0 TSval=50136281 TSecr=50132536 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
    6 2018-06-07 05:09:38.372011363    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (text/html) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
    7 2018-06-07 05:09:38.372338085    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=137 Ack=2960 Win=35200 Len=0 TSval=50132537 TSecr=50136282 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
    8 2018-06-07 05:09:38.375483395    10.10.1.2 → 10.10.3.2    HTTP GET /robots.txt HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
    9 2018-06-07 05:09:38.375740918    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 404 Not Found  (text/html) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   10 2018-06-07 05:09:38.377260390    10.10.1.2 → 10.10.3.2    HTTP GET /icons/blank.gif HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   11 2018-06-07 05:09:38.377532383    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   12 2018-06-07 05:09:38.380176293    10.10.1.2 → 10.10.3.2    HTTP GET /?C=N;O=D HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   13 2018-06-07 05:09:38.381048866    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (text/html) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   14 2018-06-07 05:09:38.381387023    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=634 Ack=6848 Win=46848 Len=0 TSval=50132539 TSecr=50136284 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   15 2018-06-07 05:09:38.384149048    10.10.1.2 → 10.10.3.2    HTTP GET /?C=M;O=A HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   16 2018-06-07 05:09:38.385000745    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (text/html) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   17 2018-06-07 05:09:38.385341359    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=806 Ack=9806 Win=52864 Len=0 TSval=50132540 TSecr=50136285 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   18 2018-06-07 05:09:38.388067831    10.10.1.2 → 10.10.3.2    HTTP GET /?C=S;O=A HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   19 2018-06-07 05:09:38.388918458    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (text/html) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   20 2018-06-07 05:09:38.389257178    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=978 Ack=12764 Win=58752 Len=0 TSval=50132541 TSecr=50136286 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   21 2018-06-07 05:09:38.392055785    10.10.1.2 → 10.10.3.2    HTTP GET /?C=D;O=A HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   22 2018-06-07 05:09:38.392903997    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (text/html) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   23 2018-06-07 05:09:38.393251954    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=1150 Ack=15722 Win=64640 Len=0 TSval=50132542 TSecr=50136287 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   24 2018-06-07 05:09:38.395849167    10.10.1.2 → 10.10.3.2    HTTP GET /icons/unknown.gif HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   25 2018-06-07 05:09:38.396102091    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   26 2018-06-07 05:09:38.398691426    10.10.1.2 → 10.10.3.2    HTTP GET /bins HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   27 2018-06-07 05:09:38.398957736    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   28 2018-06-07 05:09:38.401816130    10.10.1.2 → 10.10.3.2    HTTP GET /icons/text.gif HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   29 2018-06-07 05:09:38.402085103    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   30 2018-06-07 05:09:38.404904095    10.10.1.2 → 10.10.3.2    HTTP GET /bins.sh HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   31 2018-06-07 05:09:38.405158712    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  (text/x-sh) 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   32 2018-06-07 05:09:38.407695543    10.10.1.2 → 10.10.3.2    HTTP GET /mirai.arm HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   33 2018-06-07 05:09:38.407970691    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   34 2018-06-07 05:09:38.407992997    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   35 2018-06-07 05:09:38.408323161    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2021 Ack=25228 Win=90752 Len=0 TSval=50132546 TSecr=50136291 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   36 2018-06-07 05:09:38.408351544    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   37 2018-06-07 05:09:38.408372367    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   38 2018-06-07 05:09:38.408859513    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2021 Ack=32468 Win=105216 Len=0 TSval=50132546 TSecr=50136291 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   39 2018-06-07 05:09:38.408885976    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   40 2018-06-07 05:09:38.409432945    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2021 Ack=42604 Win=125440 Len=0 TSval=50132546 TSecr=50136291 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   41 2018-06-07 05:09:38.409460144    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   42 2018-06-07 05:09:38.410281748    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2021 Ack=46948 Win=134144 Len=0 TSval=50132546 TSecr=50136291 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   43 2018-06-07 05:09:38.410622649    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2021 Ack=61428 Win=163072 Len=0 TSval=50132546 TSecr=50136291 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   44 2018-06-07 05:09:38.410649182    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   45 2018-06-07 05:09:38.411843385    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2021 Ack=70116 Win=179712 Len=0 TSval=50132547 TSecr=50136291 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   46 2018-06-07 05:09:38.412561891    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2021 Ack=79062 Win=198400 Len=0 TSval=50132547 TSecr=50136291 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   47 2018-06-07 05:09:38.414089867    10.10.1.2 → 10.10.3.2    HTTP GET /mirai.arm7 HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   48 2018-06-07 05:09:38.414358403    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   49 2018-06-07 05:09:38.414394132    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   50 2018-06-07 05:09:38.414543061    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   51 2018-06-07 05:09:38.414636159    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2195 Ack=93542 Win=227328 Len=0 TSval=50132547 TSecr=50136292 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   52 2018-06-07 05:09:38.414665558    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   53 2018-06-07 05:09:38.415762565    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2195 Ack=108022 Win=241152 Len=0 TSval=50132548 TSecr=50136292 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   54 2018-06-07 05:09:38.415792457    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   55 2018-06-07 05:09:38.417103181    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2195 Ack=123950 Win=249600 Len=0 TSval=50132548 TSecr=50136292 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   56 2018-06-07 05:09:38.417132707    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   57 2018-06-07 05:09:38.418310414    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2195 Ack=139878 Win=249600 Len=0 TSval=50132548 TSecr=50136293 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   58 2018-06-07 05:09:38.419611506    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2195 Ack=150261 Win=251648 Len=0 TSval=50132549 TSecr=50136293 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   59 2018-06-07 05:09:38.421172973    10.10.1.2 → 10.10.3.2    HTTP GET /mirai.m68k HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
   60 2018-06-07 05:09:38.421464201    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   61 2018-06-07 05:09:38.421491251    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
   62 2018-06-07 05:09:38.421609563    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
